Date,Open,High,Low,Close,Adj Close,Volume,Yesterday,MA3,MA6,MA13,MA21
2023-08-18,3.740000009536743,3.819999933242798,3.6500000953674316,3.7699999809265137,3.7699999809265137,312700,3.8,3.883,4.123,4.092,4.11
2023-08-21,3.8399999141693115,4.010000228881836,3.809999942779541,3.8399999141693115,3.8399999141693115,241600,3.77,3.803,4.033,4.063,4.096
2023-08-22,3.880000114440918,3.9000000953674316,3.700000047683716,3.8499999046325684,3.8499999046325684,213200,3.84,3.82,3.95,4.035,4.1
2023-08-23,3.8499999046325684,3.950000047683716,3.75,3.9000000953674316,3.9000000953674316,132500,3.85,3.863,3.873,4.003,4.111
2023-08-24,3.9000000953674316,3.9100000858306885,3.5199999809265137,3.5799999237060547,3.5799999237060547,244400,3.9,3.777,3.79,3.977,4.097
2023-08-25,3.6600000858306885,3.700000047683716,3.5199999809265137,3.5899999141693115,3.5899999141693115,192700,3.58,3.69,3.755,3.965,4.081
2023-08-28,3.619999885559082,3.7200000286102295,3.4600000381469727,3.490000009536743,3.490000009536743,222900,3.59,3.553,3.708,3.952,4.03
2023-08-29,3.5299999713897705,3.690000057220459,3.5299999713897705,3.680000066757202,3.680000066757202,287300,3.49,3.587,3.682,3.898,3.98
2023-08-30,3.759999990463257,3.940000057220459,3.7200000286102295,3.869999885559082,3.869999885559082,283400,3.68,3.68,3.685,3.858,3.952
2023-08-31,3.990000009536743,3.990000009536743,3.7699999809265137,3.859999895095825,3.859999895095825,336500,3.87,3.803,3.678,3.821,3.935
2023-09-01,4.039999961853027,4.309999942779541,3.9700000286102295,4.25,4.25,1045600,3.86,3.993,3.79,3.812,3.937
2023-09-05,4.260000228881836,4.869999885559082,4.159999847412109,4.650000095367432,4.650000095367432,692300,4.25,4.253,3.967,3.856,3.953
2023-09-06,4.650000095367432,4.670000076293945,4.269999980926514,4.389999866485596,4.389999866485596,409400,4.65,4.43,4.117,3.902,3.975
2023-09-07,4.320000171661377,4.860000133514404,4.28000020980835,4.710000038146973,4.710000038146973,483200,4.39,4.583,4.288,3.974,4.021
2023-09-08,4.730000019073486,4.78000020980835,4.300000190734863,4.369999885559082,4.369999885559082,230500,4.71,4.49,4.372,4.015,4.055
2023-09-11,4.380000114440918,4.75,4.380000114440918,4.690000057220459,4.690000057220459,260700,4.37,4.59,4.51,4.079,4.07
2023-09-12,4.639999866485596,5.039999961853027,4.639999866485596,4.71999979019165,4.71999979019165,555000,4.69,4.593,4.588,4.142,4.086
2023-09-13,4.650000095367432,4.960000038146973,4.519999980926514,4.699999809265137,4.699999809265137,310500,4.72,4.703,4.597,4.228,4.102
2023-09-14,4.730000019073486,4.920000076293945,4.579999923706055,4.860000133514404,4.860000133514404,341900,4.7,4.76,4.675,4.326,4.126
2023-09-15,4.829999923706055,5.019999980926514,4.590000152587891,4.849999904632568,4.849999904632568,438600,4.86,4.803,4.698,4.431,4.163
2023-09-18,4.829999923706055,4.829999923706055,4.409999847412109,4.519999980926514,4.519999980926514,385400,4.85,4.743,4.723,4.495,4.197
2023-09-19,4.5,4.650000095367432,4.210000038146973,4.409999847412109,4.409999847412109,432000,4.52,4.593,4.677,4.537,4.228
2023-09-20,4.420000076293945,4.480000019073486,4.28000020980835,4.309999942779541,4.309999942779541,295300,4.41,4.413,4.608,4.572,4.25
2023-09-21,4.260000228881836,4.519999980926514,4.25,4.300000190734863,4.300000190734863,434700,4.31,4.34,4.542,4.575,4.271
2023-09-22,4.309999942779541,4.409999847412109,4.050000190734863,4.300000190734863,4.300000190734863,543700,4.3,4.303,4.448,4.548,4.29
2023-09-25,4.260000228881836,4.940000057220459,4.260000228881836,4.829999923706055,4.829999923706055,729500,4.3,4.477,4.445,4.582,4.35
2023-09-26,4.75,5.659999847412109,4.75,5.429999828338623,5.429999828338623,1390400,4.83,4.853,4.597,4.638,4.438
2023-09-27,5.440000057220459,5.619999885559082,5.03000020980835,5.5,5.5,666800,5.43,5.253,4.778,4.725,4.533
2023-09-28,5.5,5.920000076293945,5.340000152587891,5.889999866485596,5.889999866485596,817600,5.5,5.607,5.042,4.817,4.639
2023-09-29,5.960000038146973,6.260000228881836,5.75,6.25,6.25,1205900,5.89,5.88,5.367,4.935,4.752
