SYMBOL,SECTOR
A,Healthcare
AA,Basic Materials
AAL,Industrials
AAOI,Technology
AAP,Consumer Cyclical
AAPL,Technology
ABAT,Basic Materials
ABBV,Healthcare
ABCL,Healthcare
ABEV,Consumer Defensive
ABM,Industrials
ABNB,Consumer Cyclical
ABR,Real Estate
ABSI,Healthcare
ABT,Healthcare
ABUS,Healthcare
ACAD,Healthcare
ACB,Healthcare
ACCD,Healthcare
ACCO,Industrials
ACDC,Energy
ACET,Healthcare
ACGL,Financial Services
ACHR,Industrials
ACI,Consumer Defensive
ACIW,Technology
ACLS,Technology
ACM,Industrials
ACMR,Technology
ACN,Technology
ACRE,Real Estate
ACRS,Healthcare
ACVA,Consumer Cyclical
ADBE,Technology
ADC,Real Estate
ADCT,Healthcare
ADEA,Technology
ADI,Technology
ADIL,Healthcare
ADM,Consumer Defensive
ADMA,Healthcare
ADNT,Consumer Cyclical
ADP,Industrials
ADPT,Healthcare
ADSK,Technology
ADT,Industrials
ADTN,Technology
ADV,Communication Services
ADVM,Healthcare
AEE,Utilities
AEG,Financial Services
AEHR,Technology
AEM,Basic Materials
AEO,Consumer Cyclical
AEP,Utilities
AER,Industrials
AES,Utilities
AESI,Energy
AFL,Financial Services
AFRM,Technology
AG,Basic Materials
AGCO,Industrials
AGI,Basic Materials
AGIO,Healthcare
AGL,Healthcare
AGNC,Real Estate
AGR,Utilities
AGRO,Consumer Defensive
AGTI,Healthcare
AHCO,Healthcare
AHT,Real Estate
AI,Technology
AIG,Financial Services
AIMD,Healthcare
AIRC,Real Estate
AISP,Technology
AIV,Real Estate
AJG,Financial Services
AKAM,Technology
AKBA,Healthcare
AKR,Real Estate
AKRO,Healthcare
AL,Industrials
ALB,Basic Materials
ALC,Healthcare
ALEC,Healthcare
ALGM,Technology
ALGN,Healthcare
ALHC,Healthcare
ALIT,Technology
ALK,Industrials
ALKS,Healthcare
ALL,Financial Services
ALLE,Industrials
ALLK,Healthcare
ALLO,Healthcare
ALLY,Financial Services
ALNY,Healthcare
ALPN,Healthcare
ALSN,Consumer Cyclical
ALT,Healthcare
ALTM,Basic Materials
ALTO,Basic Materials
ALV,Consumer Cyclical
AM,Energy
AMAT,Technology
AMBA,Technology
AMBP,Consumer Cyclical
AMC,Communication Services
AMCR,Consumer Cyclical
AMCX,Communication Services
AMD,Technology
AME,Industrials
AMGN,Healthcare
AMH,Real Estate
AMKR,Technology
AMLX,Healthcare
AMN,Healthcare
AMPL,Technology
AMPS,Utilities
AMPY,Energy
AMRC,Industrials
AMRX,Healthcare
AMSC,Industrials
AMT,Real Estate
AMWL,Healthcare
AMX,Communication Services
AMZN,Consumer Cyclical
ANET,Technology
ANF,Consumer Cyclical
ANGI,Communication Services
ANNX,Healthcare
ANSS,Technology
ANY,Technology
AON,Financial Services
AOS,Industrials
APA,Energy
APAM,Financial Services
APD,Basic Materials
APG,Industrials
APGE,Healthcare
APH,Technology
APLD,Financial Services
APLE,Real Estate
